#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RETRACT_VASSAL_INTERACTION_2F;Our §Y$GOVERNMENT$§! government allows us to retract vassals without objections from other vassals.;;;;;;;;;;;;;x
REL_RETIRE_DESC;Rulers can order adult unlanded courtiers to take the vows;;;;;;;;;;;;;x
merchant_republic_government_desc;Playing as a Patrician within a Merchant Republic is not entirely dissimilar from playing a Feudal lord - you are still after more Holdings, and you need an heir of your family. However, leadership of the Republic changes between the five major Patrician families through special elections. Patricians can also build a network of Trade Posts, even in the counties of other powers...;;;;;;;;;;;;;x
GOV_CAN_BUILD_DESC;Can build $HOLDINGS_LIST$ Holdings;;;;;;;;;;;;;x
GOV_CANNOT_BUILD_DESC;Cannot build Holdings;;;;;;;;;;;;;x
GOV_CAN_NOT_IMPRISON_DESC;Cannot imprison subjects without special reasons;;;;;;;;;;;;;x
pagan_group_FEATURES;§Y*§! Inferior at conversion and vulnerable to non-pagan missionaries\n§Y*§! Rulers cannot declare Holy Wars\n§Y*§! Women may hold Spymaster positions;;;;;;;;;;;;;x
GOV_ALLOW_REVOKATION_DESC;Vassal titles be revoked without needing any special laws;;;;;;;;;;;;;x
GOV_CAN_NOT_REVOKE_DESC;Cannot revoke titles without special reasons;;;;;;;;;;;;;x
GOV_CAN_HOLD_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties;;;;;;;;;;;;;x
GOV_CAN_HOLD_CULTURE_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your culture;;;;;;;;;;;;;x
GOV_CAN_HOLD_RELIGION_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your religion;;;;;;;;;;;;;x
GOV_CAN_HOLD_CULTURE_RELIGION_DESC;Can hold $HOLDINGS_LIST$ Holdings without penalties for provinces with your culture and religion;;;;;;;;;;;;;x
GOV_ADDITIONAL_COMMANDERS_DESC;Have $NUM$ additional Commanders;;;;;;;;;;;;;x
GOV_FEWER_COMMANDERS_DESC;Have $NUM$ fewer Commanders;;;;;;;;;;;;;x
GOV_MOVE_CAPITAL_DELAY_DESC;Can move capital within the same lifetime every $NUM$ months;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_GOVERNMENTS_DESC;Can revoke titles from $GOVERNMENT_LIST$ government vassals without objections from other vassals.;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_GOVERNMENTS_CULTURE_DESC;Can revoke titles from $GOVERNMENT_LIST$ government vassals of another culture without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_GOVERNMENTS_RELIGION_DESC;Can revoke titles from $GOVERNMENT_LIST$ government vassals of another religion without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_GOVERNMENTS_CULTURE_RELIGION_DESC;Can revoke titles from $GOVERNMENT_LIST$ government vassals of another culture and religion without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_TIER_DESC;Can revoke titles from $TIER_LIST$ tier vassals without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_TIER_CULTURE_DESC;Can revoke titles from $TIER_LIST$ tier vassals of another culture without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_TIER_RELIGION_DESC;Can revoke titles from $TIER_LIST$ tier vassals of another religion without objections from other vassals;;;;;;;;;;;;;x
GOV_FREE_REVOKE_ON_TIER_CULTURE_RELIGION_DESC;Can revoke titles from $TIER_LIST$ tier vassals of another culture and religion without objections from other vassals;;;;;;;;;;;;;x
GOV_VASSAL_CALL_TO_ARMS_DESC;Can call $GOVERNMENT_LIST$ government vassals to arms instead of using liege levies;;;;;;;;;;;;;x
GOV_NO_VASSAL_TAX_DESC;Do not get vassal tax from $GOVERNMENT_LIST$ government vassals;;;;;;;;;;;;;x
GOV_FORCED_CONTRACT_DESC;$GOVERNMENT_LIST$ government vassals will give max taxes and max liege levies regardless of opinion. Tyranny actions against these vassals can be made without objections from vassals of other governments;;;;;;;;;;;;;x
GOV_IGNORE_IN_VASSAL_LIMIT_CALCULATION_DESC;$GOVERNMENT_LIST$ government vassals are not included in vassal limit calculation;;;;;;;;;;;;;x
LANDLESS;Landless;;;;;;;;;;;;;x
GOV_BUILD_WITH_PRESTIGE_DESC;Uses Prestige to build $HOLDINGS_LIST$ Holdings;;;;;;;;;;;;;x
BUILD_PRESTIGE_FORT_DESC;Forts can be built in all counties you control, and in hostile counties where you have troops present. Forts cost §Y$COST$§! to construct and can be upgraded to regular Castle Holdings (by §GRight-Clicking the Fort§!). Forts lock down your occupation of empty nomad provinces and negate the crushing Attrition enjoyed by certain Pagan tribes in their homelands.;;;;;;;;;;;;x
BUILD_PRESTIGE_TRADE_POST_DESC;Trade Posts can be built for §Y$COST$§! along the coasts by Patrician families in Merchant Republics - even in foreign territory. However, any local ruler is also allowed to build Trade Posts in their counties if the Silk Road happens to pass through. (See the §YTrade Zones§! map mode.);;;;;;;;;;;;x
tribal_desc;Tribal 'Holdings' provide very little income, and there can only be one Tribal 'Holding' in each county. These 'Holdings' represent the entire local tribal population - the more empty Holding slots, the more powerful the Tribal Holding.;;;;;;;;;;;;;x
