#CODE;RUSSIAN;x
INTERACTION_RELIGION_MUST_MARRY_REGULARLY;Исповедующие $RELIGION$ не могут вступать в матрилинейные браки!;x
INTERACTION_CANNOT_GRANT_CAPITAL_IF_MOVED;Нельзя передать столичный округ после переноса столицы;x
INTERACTION_REVOKE_BEFORE_DATE;Нельзя отозвать этот титул раньше чем §Y$DATE$§!;x
AIREASON_FIGHTING_FOR_THE_CHURCH;Сражение за Церковь;x
IS_NOT_MATRI_MARRIED;НЕ в матрилинейном браке;x
IS_MATRI_MARRIED;В матрилинейном браке;x
IS_RECENT_GRANT;Недавно дарован;x
IS_NOT_RECENT_GRANT;НЕ был недавно дарован;x
AIREASON_AI_FLAG_REFUSE_CONVERSION;Истинно верующий;x
INTERACTION_GRANT_THEOCRACY_LIMITS;Нельзя дать теократии более одного герцогства или королевства;x
deposed_antipope;Свергнут антипапа;x
opinion_deposed_antipope;Сверг антипапу;x
depose_antipope_desc;Этот Casus Belli может быть использован для свержения антипапы в другой стране.;x
CB_NAME_DEPOSE_ANTIPOPE;Свергнуть антипапу;x
WAR_NAME_DEPOSE_ANTIPOPE;$FIRST_ADJ$о-$SECOND_ADJ$ая антипапская война;x
CB_NAME_INSTALL_ANTIKING;Поставить антикороля;x
WAR_NAME_INSTALL_ANTIKING;$FIRST_ADJ$о-$SECOND_ADJ$ая антикоролевская война;x
ANTIPOPE_RECENTLY_DEPOSED;§RАнтипапа недавно был свергнут§!;x
ANTIPOPE_CREATION_WRONG_RELIGION;§RРелигия - НЕ $RELIGION$§!;x
faction_antiking_short;Антикороль [From.GetFirstName];x
faction_antiking_title;[From.GetFirstName] - антикороль [This.GetAdjective]ий;x
faction_antiking_desc;Фракция стремится восстановить авторитет Папы в государстве [This.GetName], посадив своего претендента, известного как §Y[From.GetBestName]§!, на [This.GetAdjective]ий трон, тем самым свергнуть антипапу и принять закон о Папской Инвеституре.;x
faction_antiking_ultimatum;Потребовать трон;x
faction_antiking_ultimatum_desc;§Y[Root.Liege.GetBestName]§! получит ультиматум, требующий отречения от престола, свержения антипапы и принятия закона о Папской Инвеституре. Если [Root.Liege.GetSubjectPronoun] откажется, Ваша фракция поднимет восстание.;x
