#CODE;RUSSIAN;x
e_germany;Германия;x
e_germany_adj;Германск;x
k_lotharingia;Срединная Франкия;x
k_lotharingia_adj;Средне-франкск;x
LOTHARINGIA;Лотарингия;x
LOTHARINGIA_ADJ;Лотарингск;x
form_the_hre_early;Основать Священную Римскую Империю;x
form_the_hre_early_desc;Кто же не захочет, чтобы его считали преемником римских императоров? Я могу сослаться на translatio imperii, и тогда [Root.RelHead.GetBestName] коронует меня как правителя новой Римской Империи на западе!;x
form_the_hre_early_tooltip_1;теперь [Root.GetKingQueen] или [Root.GetEmperorEmpress] Италии\n;x
form_the_hre_early_tooltip_2;владеет как минимум одним королевским или императорским титулом в де-юре пределах Франкской, Германской, Испанской или Британской империй\n;x
form_the_hre_early_tooltip_3;Ни один христианский правитель не обладает титулом Итальянской, Франкской, Германской, Испанской или Британской империй\n;x
frankish;Французск;x
old_frankish;Франкск;x
old_saxon;Саксонск;x
lombard;Ломбардск;x
visigothic;Визиготск;x
somali;Сомалийск;x
suebi;Свевск;x
ilmenian;Ильменск;x
severian;Северск;x
volhynian;Волынск;x
d_powys;Поуис;x
d_powys_adj;Поуисск;x
BM_CHARLEMAGNE;Карл Великий;x
LOMBARD_KINGDOM;Ломбардия;x
LOMBARD_KINGDOM_ADJ;Ломбардск;x
k_lombardy;Ломбардия;x
k_lombardy_adj;Ломбардск;x
WELCOME_HEADER;Добро пожаловать в Crusader Kings II;x
