#CODE;RUSSIAN;x
EVTOPTC91355;Быть может стоит обратиться к [From.GetHersHis] жадности...;x
EVTOPTD91355;Пожертвую немного золота.;x
EVTOPTE91355;Возможно [From.GetHersHis] [From.Spouse.GetHusbandWife] встанет на мою сторону.;x
EVTDESC91372;Мои люди передали мне послание - [From.GetName] всё ещё отвергает мои требования исправиться и предлагает мне крепкого евнуха с потрясающими военными навыками в качестве подарка, чтобы продолжать образ жизни декадента.;x
EVTOPTA91372;А ведь он мне пригодится!;x
EVTDESC91373;[From.GetName] говорит мне, как собирается прожить свою жизнь. [From.GetSubjectPronounCap] пытается объяснить мне, что тот образ жизни, который я называю декадентским, на самом деле лишь иной способ исполнять то, что велит нам [From.Religion.GetRandomGodName]. [From.GetSheHeCap] также предлагает внести пожертвование от моего имени в знак нашей дружбы.;x
EVTOPTA91373;[From.Religion.GetRandomGodName] одобрил бы такое пожертвование.;x
EVTDESC91374;[From.GetName] пришёл в мои покои и шепчет мне приятные слова. [From.GeSheHeCap] говорит, что [Root.Spouse.GetName] собирается бросить [From.GeHersHis] в темницу за декадентский образ жизни, несмотря на то, что с тех пор [From.GeSheHe] сильно изменился.;x
EVTOPTA91374;Кажется, я влюбилась!;x
EVTOPTB91374;Он просто использует меня!;x
EVTDESC91375;Моя жена расстроена из-за того, что я слишком суров по отношению к декаденту, она говорит, что [FromFrom.GetName] не заслуживает такого и просит [FromFrom.GetHersHis] отпустить.;x
EVTOPTA91375;Для тебя всё, что угодно, любимая.;x
EVTDESC91376;Моя жена пришла ко мне с шокирующими известиями - [FromFrom.GetName] пытался соблазнить её и обратить против меня.;x
EVTDESC7950;Принимая во внимание распорядок дня и декадентский образ жизни, которым живёт [Root.PlotTarget.GetTitledName], наилучшим местом для [Root.PlotTarget.HersHis] убийства будет [Root.PlotTarget.HersHis] собственный дворец...;x
EVTOPTA7950;Мои сообщники подкупят [Root.PlotTarget.GetHersHis] слуг.;x
EVTOPTB7950;Я подклуплю [Root.PlotTarget.GetHersHis] слуг.;x
EVTOPTC7950;Я заменю [Root.PlotTarget.GetHersHis] слуг своими.;x
EVTDESC7951;Внезапно мне стало ясно, что такие декаденты наиболее уязвимы в собственном дворце.;x
EVTDESC7953;[From.GetTitledName] даёт мне деньги, чтобы подкупить слуг. Если всё получится, [From.PlotTarget.GetTitledName] умрёт.;x
EVTDESC7954;[From.GetTitledName] отказывается давать мне деньги для подкупа, необходимого для убийства во дворце.;x
EVTDESC7955;Как же приятно вот так сидеть дома и наслаждаться простыми радостями жизни. Ещё вина мне! И закусок!;x
