#CODE;RUSSIAN;x
d_connacht_adj;Коннахтск;x
d_leinster_adj;Лейнстерск;x
d_munster_adj;Манстерск;x
d_ulster_adj;Ульстерск;x
d_argyll_adj;Аргильск;x
d_lothian_adj;Лотианск;x
d_galloway_adj;Галловейск;x
d_northumberland_adj;Нортубрианск;x
d_nikaea_adj;Никейск;x
d_gelre_adj;Гелрианск;x
d_ryazan_adj;Рязанск;x
d_bulgar_adj;Булгарск;x
d_mazandaran_adj;Мезендеранск;x
d_moray_adj;Морейск;x
d_meath_adj;Митск;x
d_deheubarth_adj;Дехейбартск;x
d_brunswick_adj;Брансвикск;x
d_dauphine_adj;Дофинск;x
#d_aquitaine_adj;Аквитанск;x
d_valois_adj;Валуа;x
d_constantine_adj;Константинск;x
d_abbasid_adj;Аббасидск;x
d_balearic_adj;Балеарск;x
d_bergen_adj;Бергенск;x
d_bordeaux_adj;Бордосск;x
d_gilan_adj;Гиланск;x
FE_CREATE_GAME;Создать Игру;x
HOST_DESC;Создайте игру, чтобы другие могли присоединиться\nВы не сможете изменить дату, или выбрать сохранение после того как игра будет создана;x
DEATH_BY_MURDER_NO_KILLER;убит;x
DEATH_EXECUTION_NO_KILLER;казнён;x
DEATH_DUNGEON_NO_KILLER;умер в тюрьме;x
DEATH_DUEL_NO_KILLER;убит на дуэли;x
EVTOPTB3335;[Root.Liege.GetTitledFirstName] в порядке;x
plot_weaken_fellow_vassal_title;Сменить власть в области "[This.GetName]";x
plot_weaken_fellow_vassal_desc;[This.Holder.GetTitledName] потеряет часть владений. Власть правителя ослабнет, если [This.GetFullName] отойдет одному из его вассалов.;x
plot_weaken_fellow_vassal_decision;[Root.GetPlot];x
plot_weaken_fellow_vassal_decision_desc;Мы можем послать ультиматум. [Root.PlotTarget.GetTitledName] его получит, и это завершит заговор.;x
plot_weaken_fellow_vassal_decision_liege;Искать поддержки ([Root.TopLiege.GetTitledFirstName] может мне помочь).;x
plot_weaken_fellow_vassal_decision_liege_desc;Мы пошлём письмо с предложением о разделе земель, которыми правит [Root.PlotTarget.GetTitledName]. [Root.TopLiege.GetTitledFirstName] может помочь нам в этом. Но если [Root.TopLiege.GetTitle] не поддержит нас, о заговоре узнает весь двор.;x
