#CODE;RUSSIAN;x
HAS_NOT_LOVER;Нет возлюбленного.;x
HAS_LOVER;Есть возлюбленный.;x
FAM_IN_LAWS;Брачные узы;x
REL_LOVER;Любовник;x
TRIGGER_LOVER;Любовник;x
BREAK_AFFAIR_EFFECT;$WHO$ расстаётся с §Y$SPOUSE$§W.\n;x
ADD_LOVER_EFFECT; $WHO$ влюбляется в §Y$SPOUSE$§W.\n;x
EVTDESC3315;Я просыпаюсь с криком. Темнота пугает меня, и я продолжаю задаваться вопросом - выдержу ли я эту кампанию?;x
EVTOPTA3315;Я думаю, что меня услышали.;x
EVTOPTB3315;Мои солдаты не будут уважать меня.;x
EVTDESC60004;Великий Каган послал ещё больше воинов, чтобы помочь нам в наших завоеваниях!;x
EVTOPTA40021;Я дам [From.GetHerHim] возможность претендовать на титулы преступника.;x
#DECLARE_WAR_INTERACTION_0;Нарушение перемирия (заканчивается §Y$DATE$§!) будет стоить нам §R$PRESTIGE$§! очков престижа и понизит отношение к нам всех правителей, исповедующих [Recipient.Religion.GetGroupName], на §R$OPINION$§!;x
SETTLEMENT_YOUNGER_THAN;Поселению менее $AGE$ лет \n;x
SETTLEMENT_AT_LEAST;Поселению по крайней мере $AGE$ лет \n;x
AIREASON_IS_GUARDIANS_CHILD;Наставник персонажа §Y[GetTitledFirstName]§! - один из его родителей;x
RELEASE_FROM_PRISON_INTERACTION_0;§Y[Recipient.GetBestName]§! освободится из тюрьмы;x
RELEASE_FROM_PRISON_INTERACTION_1;Ваши вассалы оценят Ваше милосердие и повысят своё мнение о Вас на §G$VAL$§!.;x
TITLED_NAME_W_NICK;$TITLE$ $NAME$ $NICK$ ($HOLDING$);x
city_contract_0_desc;Горожане обязаны предоставлять небольшое количество войск для защиты государства.;x
city_contract_1_desc;Горожане обязаны предоставлять умеренное количество войск для защиты государства.;x
city_contract_2_desc;Горожане обязаны предоставлять существенное количество войск для защиты государства.;x
city_contract_3_desc;Горожане обязаны предоставлять большое количество войск для защиты государства.;x
obj_become_chancellor_title;получить должность "[This.GetChancellorName]";x
obj_become_marshal_title;получить должность "[This.GetMarshalName]";x
obj_become_treasurer_title;получить должность "[This.GetTreasurerName]";x
obj_become_spymaster_title;получить должность "[This.GetSpymasterName]";x
obj_become_spiritual_title;получить должность "[This.GetLordSpiritualName]";x
awesome_charge_tactic;Рывок устрашения;x
awesomer_charge_tactic;Ужасающий рывок;x
romanian;Валашск;x
#ca_keep_5;Огромная цитадель;x
#ca_keep_6;Эпическая цитадель;x
#ca_training_grounds_2;Большой тренировочный лагерь;x
#ca_barracks_1;Помещения охраны;x
#ca_barracks_2;Маленькие казармы;x
#ca_barracks_3;Средние казармы;x
#ca_barracks_4;Большие казармы;x
#ca_barracks_5;Огромные казармы;x
#ca_barracks_6;Королевские казармы;x
#ca_stable_1;Маленькая конюшня;x
#ca_stable_2;Средняя конюшня;x
#ca_stable_3;Большая конюшня;x
#ca_stable_4;Огромная конюшня;x
#ca_stable_5;Королевская конюшня;x
#ca_town_1;Деревня при замке;x
ca_town_1;Городок при замке;x
ca_town_2;Городок при замке;x
ca_town_3;Городок при замке;x
ca_town_4;Городок при замке;x
ca_town_5;Городок при замке;x
ca_town_6;Городок при замке;x
#ca_town_3;Город при замке;x
#ca_town_4;Большой город при замке;x
#ca_town_5;Огромный город при замке;x
#ca_culture_saxon_english_1;Примитивное стрельбище английских лучников;x
#ca_culture_scottish_1;Малый тренировочный лагерь шотландских копейщиков-шилтронов;x
#ca_culture_scottish_2;Средний тренировочный лагерь шотландских копейщиков-шилтронов;x
#ca_culture_scottish_3;Большой тренировочный лагерь шотландских копейщиков-шилтронов;x
#ca_culture_scottish_4;Огромный тренировочный лагерь шотландских копейщиков-шилтронов;x
#ca_culture_group_iberian_4;Огромный тренировочный лагерь кабальеро;x
#ca_culture_group_altaic_1;Малые лагеря охотников;x
#ca_culture_group_altaic_2;Средние лагеря охотников;x
#ca_culture_group_altaic_3;Большие лагеря охотников;x
#ca_culture_group_altaic_4;Огромные лагеря охотников;x
#ca_culture_italian_4;Огромный тренировочный лагерь итальянских пикинёров;x
#ca_culture_russian_4;Эпический тренировочный лагерь дружины;x
#ct_training_grounds_6;Эпический тренировочный лагерь городского ополчения;x
#ct_guard_1;Помещения городской стражи;x
#ct_guard_2;Малые городские казармы;x
#ct_guard_3;Средние городские казармы;x
#ct_guard_4;Большие городские казармы;x
#ct_guard_5;Крупные городские казармы;x
#ct_guard_6;Огромные городские казармы;x
tp_barracks_1;Квартиры церковного ополчения;x
tp_barracks_2;Квартиры церковного ополчения;x
tp_barracks_3;Квартиры церковного ополчения;x
tp_barracks_4;Квартиры церковного ополчения;x
tp_barracks_5;Квартиры церковного ополчения;x
tp_barracks_6;Квартиры церковного ополчения;x
#tp_barracks_2;Малое место сбора церковного ополчения;x
#tp_barracks_3;Среднее место сбора церковного ополчения;x
#tp_barracks_4;Большое место сбора церковного ополчения;x
#tp_barracks_5;Крупное место сбора церковного ополчения;x
#tp_barracks_6;Огромное место сбора церковного ополчения;x
#tp_elite_barracks_1;Помещения церковной стражи;x
#tp_elite_barracks_2;Малые церковные казармы;x
#tp_elite_barracks_3;Средние церковные казармы;x
#tp_elite_barracks_4;Большие церковные казармы;x
#tp_elite_barracks_5;Крупные церковные казармы;x
#tp_elite_barracks_6;Огромные церковные казармы;x
#tp_town_1;Деревня при церкви;x
#k_andalusia;Аль-Андалус;x
k_andalusia_adj;Андалузск;x
DIFFRATING_0;Невозможно;x
DIFFRATING_10;Практически невозможно;x
DIFFRATING_20;Очень трудно;x
DIFFRATING_30;Трудно;x
DIFFRATING_40;Довольно трудно;x
DIFFRATING_50;Нормально;x
DIFFRATING_60;Относительно легко;x
DIFFRATING_70;Легко;x
DIFFRATING_80;Очень легко;x
DIFFRATING_90;Слишком легко;x
DIFFRATING_100;Проще простого;x
WAR_NAME_OTHER_CLAIM;$ORDER$ война в поддержку претендента ($CLAIMANT$), цель - $OTHER_TITLE$;x
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$ $FIRST_ADJ$ая в поддержку де-юре претендента ($CLAIMANT$) на подчинение области $OTHER_TITLE$;x
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$ $FIRST_ADJ$ая в поддержку де-юре претендента ($CLAIMANT$) на подчинение области $OTHER_TITLE$;x
WAR_NAME_OTHER_SUCCESSION;$ORDER$ $FIRST_ADJ$ая война претендента ($CLAIMANT$) на престол ($SECOND$);x
IS_NOT_DE_JURE_LIEGE_OR_ABOVE; НЕ является де-юре прямым или более высоким сюзереном;x
IS_DE_JURE_LIEGE_OR_ABOVE; является де-юре прямым или более высоким сюзереном;x
MAXIMUM_RAISABLE_LEVY;Количество доступных солдат: §Y$VALUE$%§!;x
LEVY_PERC_DESC;Мы смогли собрать §Y$PERC$%§W от общего количества войск.;x
#LEVY_PERC_DESC3;$THEM$ зарезервировано §Y$PERC$%§! каждого вида войск в качестве личной охраны.;x
