#CODE;RUSSIAN;x
seize_trade_post_desc;§Y$CLAIMANT$§! может объявить войну персонажу §Y$TARGET$§! за область "§Y$TITLE$§!". Этот повод не действителен против более слабых соперников в пределах одной республики.;x
opinion_rival_republic;Конкурирующая Республика;x
EVTDESC_REP_070;Торговцы одной из Ваших факторий, предали Вашу семью! Теперь они служат одной из патрицианских семей новорожденной Ганзы, утверждая, что новая торговая лига даст им больше возможностей получить прибыль.;x
EVTOPTA_REP_070;Неблагодарные!;x
PATRICIAN_DEMESNE_BONUS;Купеческий род;x
CANT_BUILD_TRADEPOST_OTHERREP;НЕ должен принадлежать другой торговой республике;x
opinion_royal_marriage;Узы брака;x
AIREASON_REPUBLICS_REFUSE_REVOKE;Торговые республики не откажутся от титулов;x
INTERACTION_CAN_AFFORD_THE_COST;Позволяет расходы в $COST$¤;x
INTERACTION_RECIPIENT_NOT_EMBARGOING;[Recipient.GetTitledName] НЕ ввел эмбарго, цель которого - [ThirdPartyCharacter.GetTitledName];x
INTERACTION_RECIPIENT_NOT_TRUCE;[Recipient.GetTitledName] и [ThirdPartyCharacter.GetTitledName] НЕ находятся в перемирии;x
INTERACTION_ACTOR_NOT_TRUCE;[Actor.GetTitledName] и [ThirdPartyCharacter.GetTitledName] НЕ находится в перемирии;x
AIREASON_PRIMARY_IN_WARS;Основной участник в войне;x
AIREASON_MINOR_IN_WARS;Второстепенный участник в войне;x
ASK_TO_EMBARGO_INTERACTION_TITLE;Ввести эмбарго;x
ASK_TO_EMBARGO_INTERACTION_DESC;Попросить, чтобы §Y[Recipient.GetBestName]§W ввел(а) эмбарго против Вашего соперника (торговой республики).;x
ASK_TO_EMBARGO_INTERACTION_LONG_DESC;Вы можете ослабить конкурирующую республику и открыть прибрежные провинции для Ваших торговых представительств, убедив правителя ввести эмбарго. Деньги помогут убедить правителя. Однако, если Вы проиграете в войне, то §YВам§! придется выплатить репарации.;x
ASK_TO_EMBARGO_INTERACTION_0;Выберите торговую республику для введения эмбарго.;x
ASK_TO_EMBARGO_INTERACTION_1;Попросить, чтобы §Y[Recipient.GetTitledFirstName]§! ввел(а) эмбарго против правителя (§Y[ThirdPartyCharacter.GetTitledFirstName]§!) и [ThirdPartyCharacter.GetHersHis] державы: §Y[ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName]§!. Предложить §Y$GOLD$§!¤ для закрепления сделки. §RЕсли Вы проиграете в войне, Вам придется заплатить репарации.§!;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_SETUP;Просьба о введении эмбарго удовлетворена.;x
ASK_TO_EMBARGO_INTERACTION_ACCEPT_LOG;§Y[Recipient.GetTitledName]§! и §Y[Actor.GetTitledName]§! ввели эмбарго против семьи §Y[ThirdPartyCharacter.GetDynName]§!;x
ASK_TO_EMBARGO_INTERACTION_OFFER;[Actor.GetTitledName] предлагает нам $COST$¤ за введения эмбарго против правителя ([ThirdPartyCharacter.GetTitledFirstName]) и [ThirdPartyCharacter.GetHersHis] державы: [ThirdPartyCharacter.TopLiege.PrimaryTitle.GetName].;x
ASK_TO_EMBARGO_INTERACTION_LETTER;Коварные [ThirdPartyCharacter.PrimaryTitle.GetAdjective]ие торговцы должны быть изгнаны с Ваших земель. Если Вы согласитесь ввести эмбарго против правителя ([ThirdPartyCharacter.GetTitledName]), мы не только присоединимся к войне на Вашей стороне, но и предложим Вам $COST$¤. Если мы потерпим поражение, [Actor.PrimaryTitle.GetName] выплатит все военные репарации.;x
INTERACTION_REQUIRES_TARGET_IS_MERCHANT_REPUBLIC;Государство §Y[ThirdPartyCharacter.PrimaryTitle.GetName]§! должно быть торговой республикой.;x
ANY_ATTACKER_STARTS;Любой атакующий;x
ANY_DEFENDER_STARTS;Любой обороняющийся;x
EVTDESC295;Я принимаю Ваше предложение. Вместе мы должны заставить [Root.PrimaryTitle.GetAdjective]их торговцев убраться. Пусть [From.PrimaryTitle.GetName] очистится от них!\n\n[From.GetTitledFirstName];x
EVTDESC296;Честно говоря, я нахожу смешным Ваше предложение о введении эмбарго против республики [Root.PrimaryTitle.GetName]. Чем одни барыги лучше других?\n\n[From.GetTitledFirstName];x
CONQUEROR_HOME_CULTURE;Культурные связи;x
AIREASON_SUPPORT_FOR_CONQUEROR;Местная поддержка завоевателю;x
k_hansa;Ганза;x
k_hansa_adj;Ганзейск;x
called_into_war;Призван к войне;x
city_kingdom_of_german;Торговая Лига;x
city_kingdom_german;Торговая Лига;x
opinion_bribed_tp;Подкупил факторию;x
opinion_thwarted_tp_destruction;Спас факторию от сожжения;x
TRADEPOST_COST_OP_EFFECT;Мнение сюзерена (§Y$LIEGE$§!) о Вас дает: $EFFECT$;x
DESTROY_TRADEPOST_EFFECT;Уничтожение фактории в провинции $LOCATION$;x
EVTDESC_REP_601;Деньги продолжают идти через факторию в провинции [From.GetName], но Ваши отношения с семьей, владеющей ей, испорчены. Чтобы преподать им урок, не ввязываясь войну, Вы могли бы поднять толпу, чтобы сжечь его дотла...;x
EVTOPTA_REP_601;Да! Собрать толпу!;x
EVTOPTB_REP_601;Нет, все может быстро выйти из-под контроля...;x
tp_spare;Вы решаете не сжигать факторию.;x
EVTTOOLTIP_REP_602;Разъяренная толпа направляется в сторону фактории.;x
